year,state,cause,sum(deaths)
2013,South Carolina,Unintentional injuries,2287
2013,New York,Kidney disease,2285
2011,South Carolina,Unintentional injuries,2285
2008,South Carolina,Unintentional injuries,2285
2012,Hawaii,Cancer,2284
2000,New Jersey,Unintentional injuries,2284
2009,Oklahoma,Unintentional injuries,2284
2012,Alabama,Unintentional injuries,2283
2015,Alabama,Alzheimer's disease,2282
2012,Maryland,Stroke,2280
2015,Louisiana,Stroke,2280
2010,Maryland,Stroke,2279
2011,North Carolina,Diabetes,2278
2011,Hawaii,Cancer,2278
2014,Minnesota,CLRD,2277
2007,Tennessee,Alzheimer's disease,2276
2002,Wisconsin,Unintentional injuries,2274
2013,Louisiana,CLRD,2274
2010,South Carolina,Unintentional injuries,2274
2005,South Carolina,Unintentional injuries,2272
2016,Maryland,Unintentional injuries,2271
2015,Arkansas,CLRD,2270
2003,Kentucky,Unintentional injuries,2270
1999,Wisconsin,CLRD,2270
2001,Texas,Kidney disease,2269
2009,New Hampshire,Heart disease,2268
2008,South Carolina,CLRD,2266
2010,Rhode Island,Cancer,2266
2010,Hawaii,Cancer,2266
2006,North Carolina,Alzheimer's disease,2265
2004,Kentucky,CLRD,2265
2001,Kentucky,CLRD,2265
2003,Florida,Kidney disease,2265
2010,South Carolina,CLRD,2264
2016,Ohio,Kidney disease,2262
2011,Oklahoma,Unintentional injuries,2261
2005,North Carolina,Diabetes,2261
1999,California,Kidney disease,2261
2015,New Jersey,Alzheimer's disease,2260
2004,Kentucky,Unintentional injuries,2260
2010,Florida,Influenza and pneumonia,2259
2016,Rhode Island,Heart disease,2256
2016,Wisconsin,Alzheimer's disease,2256
2001,Arkansas,Stroke,2256
1999,Arkansas,Stroke,2255
2000,Arkansas,Stroke,2255
2004,North Carolina,Diabetes,2253
2004,Florida,Kidney disease,2252
2006,Rhode Island,Cancer,2250
2015,Virginia,Alzheimer's disease,2248
2007,Florida,Influenza and pneumonia,2246
2015,New York,Kidney disease,2245
2009,Hawaii,Cancer,2244
2006,Hawaii,Heart disease,2244
2014,Rhode Island,Cancer,2242
2008,New Jersey,Diabetes,2242
2012,New York,Kidney disease,2240
2003,Washington,Unintentional injuries,2239
2010,Hawaii,Heart disease,2239
2012,Colorado,CLRD,2239
2016,Georgia,Diabetes,2238
2015,Minnesota,Stroke,2238
2014,Louisiana,CLRD,2237
2014,Arizona,Stroke,2235
2005,Oklahoma,Stroke,2235
2006,North Carolina,Diabetes,2234
2004,Washington,Alzheimer's disease,2233
2002,Arkansas,Stroke,2232
2004,Michigan,Alzheimer's disease,2232
2014,Georgia,Diabetes,2230
2014,Louisiana,Stroke,2230
2009,South Carolina,Unintentional injuries,2229
2002,Alabama,Unintentional injuries,2228
1999,New Jersey,Unintentional injuries,2227
2008,Rhode Island,Cancer,2227
2004,Idaho,Cancer,2227
2007,Hawaii,Heart disease,2227
2015,Rhode Island,Cancer,2226
2002,Iowa,Stroke,2226
2006,Arizona,Stroke,2226
2001,Texas,Suicide,2225
2011,Massachusetts,Unintentional injuries,2224
2011,New Jersey,Diabetes,2222
2016,Louisiana,CLRD,2221
2009,Rhode Island,Cancer,2220
2006,Minnesota,Stroke,2219
2016,Minnesota,Alzheimer's disease,2219
2001,Iowa,Stroke,2218
2011,Georgia,Alzheimer's disease,2218
2006,Massachusetts,Unintentional injuries,2214
1999,Virginia,Unintentional injuries,2214
1999,Arizona,Unintentional injuries,2214
2007,Hawaii,Cancer,2214
2007,Rhode Island,Cancer,2213
2010,Illinois,Influenza and pneumonia,2212
2001,Alabama,Unintentional injuries,2211
2015,Georgia,Diabetes,2210
2003,Louisiana,Unintentional injuries,2208
2007,Arizona,Stroke,2207
2014,New York,Kidney disease,2207
2002,North Carolina,Diabetes,2205
2004,Ohio,Influenza and pneumonia,2204
2001,Alabama,CLRD,2204
2014,Indiana,Alzheimer's disease,2204
2002,Washington,Unintentional injuries,2203
2009,Tennessee,Alzheimer's disease,2203
2014,Minnesota,Stroke,2202
2002,Florida,Kidney disease,2201
2013,Georgia,Diabetes,2199
2008,Minnesota,Stroke,2199
2010,Colorado,CLRD,2199
2016,Minnesota,Stroke,2197
2011,New York,Kidney disease,2197
2006,Kentucky,Stroke,2197
2003,Indiana,Unintentional injuries,2196
2002,Washington,Alzheimer's disease,2195
2012,Massachusetts,Unintentional injuries,2195
2012,Ohio,Influenza and pneumonia,2195
2016,Louisiana,Alzheimer's disease,2195
2006,Louisiana,Stroke,2195
2008,Hawaii,Cancer,2194
2007,Minnesota,Stroke,2193
2006,Oklahoma,CLRD,2192
1999,Pennsylvania,Alzheimer's disease,2192
2008,Colorado,CLRD,2188
2004,North Carolina,Alzheimer's disease,2188
2000,Iowa,Stroke,2187
2016,Ohio,Influenza and pneumonia,2187
2001,Indiana,Unintentional injuries,2185
2004,Oklahoma,Stroke,2183
2001,North Carolina,Diabetes,2181
2003,Alabama,Unintentional injuries,2179
1999,Alabama,CLRD,2179
2016,Illinois,Influenza and pneumonia,2178
2001,Illinois,Kidney disease,2178
2015,Louisiana,CLRD,2178
2015,Missouri,Alzheimer's disease,2173
2008,Colorado,Unintentional injuries,2172
2001,Florida,Kidney disease,2172
2006,Hawaii,Cancer,2171
2016,Rhode Island,Cancer,2171
2008,North Carolina,Diabetes,2170
2000,Kentucky,CLRD,2170
2011,Minnesota,CLRD,2170
2011,Rhode Island,Cancer,2170
2016,Arkansas,CLRD,2169
2005,Hawaii,Cancer,2169
2005,Kentucky,Stroke,2168
2010,Minnesota,Stroke,2167
2002,Texas,Kidney disease,2166
2002,California,Kidney disease,2164
2012,Arizona,Stroke,2164
2001,Illinois,Alzheimer's disease,2163
2013,Arizona,Stroke,2162
1999,Idaho,Cancer,2162
2003,Oklahoma,CLRD,2160
2012,Arizona,Alzheimer's disease,2160
2000,Wisconsin,Unintentional injuries,2159
2007,North Carolina,Diabetes,2156
2011,Minnesota,Stroke,2154
2000,Illinois,Alzheimer's disease,2154
2011,Colorado,CLRD,2151
2007,Oklahoma,Unintentional injuries,2149
2002,Indiana,Unintentional injuries,2148
2012,Rhode Island,Cancer,2148
2011,Arizona,Stroke,2148
2007,Louisiana,Stroke,2147
2008,Arizona,Stroke,2147
2003,North Carolina,Alzheimer's disease,2145
2007,Kentucky,Stroke,2144
2009,Colorado,Unintentional injuries,2144
2009,Louisiana,Unintentional injuries,2142
2007,Massachusetts,Unintentional injuries,2139
2000,Indiana,Unintentional injuries,2139
2016,Montana,Heart disease,2138
2002,Idaho,Cancer,2138
2010,Arizona,Stroke,2138
2003,Michigan,Alzheimer's disease,2133
2003,Hawaii,Cancer,2133
2015,Montana,Cancer,2130
2000,Idaho,Cancer,2128
2000,Illinois,Kidney disease,2128
2007,Oklahoma,Stroke,2126
2012,Minnesota,CLRD,2124
2016,Delaware,Cancer,2124
2011,Georgia,Diabetes,2121
2015,Oregon,CLRD,2119
2008,Oklahoma,Unintentional injuries,2119
2016,Mississippi,CLRD,2116
2015,North Carolina,Influenza and pneumonia,2115
2006,Tennessee,Alzheimer's disease,2115
2002,Louisiana,Unintentional injuries,2115
2009,North Carolina,Diabetes,2114
2003,Arkansas,Stroke,2107
2010,Colorado,Unintentional injuries,2106
2000,South Dakota,Heart disease,2105
2016,Oregon,Unintentional injuries,2105
2013,Indiana,Alzheimer's disease,2104
2015,Montana,Heart disease,2104
2010,Minnesota,Unintentional injuries,2103
2001,Wisconsin,Unintentional injuries,2100
2015,Ohio,Kidney disease,2100
1999,Ohio,Alzheimer's disease,2099
2008,Arizona,Alzheimer's disease,2099
2010,New Jersey,Diabetes,2098
2008,Kentucky,Stroke,2098
2013,Louisiana,Stroke,2098
2009,Arizona,Alzheimer's disease,2097
2008,Minnesota,CLRD,2096
2004,South Carolina,Unintentional injuries,2094
2003,Ohio,Kidney disease,2093
2001,Idaho,Cancer,2093
2000,Alabama,Unintentional injuries,2093
2014,Arkansas,CLRD,2092
2011,Louisiana,Unintentional injuries,2091
2013,Arkansas,CLRD,2090
2002,Kentucky,Unintentional injuries,2090
2004,Hawaii,Cancer,2088
2012,Georgia,Diabetes,2088
2002,Massachusetts,Influenza and pneumonia,2087
2015,Wisconsin,Alzheimer's disease,2087
2000,Florida,Suicide,2086
2006,Oklahoma,Stroke,2085
2008,Ohio,Influenza and pneumonia,2085
2000,North Carolina,Diabetes,2084
2008,Louisiana,Stroke,2084
2012,Minnesota,Stroke,2081
2003,Iowa,Stroke,2081
2015,Arizona,Diabetes,2081
2010,Georgia,Alzheimer's disease,2080
2016,Oregon,CLRD,2080
2008,Oklahoma,Stroke,2079
2000,Massachusetts,Influenza and pneumonia,2078
2001,Michigan,Influenza and pneumonia,2076
2009,Massachusetts,Unintentional injuries,2076
1999,New Jersey,Influenza and pneumonia,2075
2012,Louisiana,CLRD,2074
2012,Georgia,Alzheimer's disease,2074
2013,Minnesota,Stroke,2073
2009,Colorado,CLRD,2073
2012,Kentucky,Stroke,2073
2016,Maryland,CLRD,2072
2001,Washington,Unintentional injuries,2072
2009,Arizona,Stroke,2072
2011,Louisiana,Stroke,2071
2014,Montana,Cancer,2066
2007,Minnesota,Unintentional injuries,2066
2010,Ohio,Kidney disease,2066
2006,Arizona,Alzheimer's disease,2066
2005,New York,Alzheimer's disease,2065
2009,Maryland,CLRD,2064
2009,Kentucky,Stroke,2064
2011,Kentucky,Stroke,2064
2016,Virginia,Diabetes,2062
2014,New Jersey,Diabetes,2062
2009,Louisiana,Stroke,2061
2010,Massachusetts,Unintentional injuries,2060
2011,Indiana,Alzheimer's disease,2058
2000,Alabama,CLRD,2057
2016,Kentucky,Stroke,2057
2012,Ohio,Kidney disease,2056
2007,Colorado,Unintentional injuries,2056
2000,Texas,Suicide,2053
2014,Missouri,Alzheimer's disease,2053
2000,Michigan,Influenza and pneumonia,2052
2007,Arizona,Alzheimer's disease,2051
2013,Maryland,CLRD,2051
1999,North Carolina,Diabetes,2050
2014,Kentucky,Stroke,2050
2015,Kentucky,Stroke,2050
2011,Maryland,CLRD,2050
2001,Washington,Alzheimer's disease,2050
1999,Montana,Heart disease,2049
2000,Washington,Unintentional injuries,2049
2013,Georgia,Alzheimer's disease,2048
2015,Virginia,Diabetes,2044
2000,New Jersey,Influenza and pneumonia,2044
2013,New Jersey,Diabetes,2043
2010,North Carolina,Diabetes,2042
2009,Ohio,Influenza and pneumonia,2040
2015,Maryland,CLRD,2040
2008,Massachusetts,Unintentional injuries,2040
2006,Oklahoma,Unintentional injuries,2039
2010,Maryland,CLRD,2039
2012,Louisiana,Stroke,2039
2012,Indiana,Alzheimer's disease,2038
2009,Minnesota,Unintentional injuries,2037
2007,South Carolina,CLRD,2036
2009,Minnesota,Stroke,2033
2005,Tennessee,Alzheimer's disease,2033
2001,Delaware,Heart disease,2033
2005,Delaware,Heart disease,2031
2016,Montana,Cancer,2031
2015,Indiana,Diabetes,2030
2002,Michigan,Influenza and pneumonia,2029
2013,Oregon,CLRD,2029
1999,Florida,Suicide,2029
2001,Louisiana,Unintentional injuries,2029
2003,Delaware,Heart disease,2027
2002,Ohio,Kidney disease,2027
2013,Missouri,Alzheimer's disease,2026
2016,Arizona,Diabetes,2025
1999,South Dakota,Heart disease,2024
2001,Hawaii,Cancer,2024
2011,Oregon,CLRD,2023
2011,Montana,Cancer,2022
2006,New York,Alzheimer's disease,2021
2003,Massachusetts,Influenza and pneumonia,2019
2015,Louisiana,Alzheimer's disease,2018
2010,Minnesota,CLRD,2016
2004,Delaware,Heart disease,2015
2000,Connecticut,Stroke,2011
2015,Iowa,CLRD,2011
1999,Delaware,Heart disease,2011
2015,Delaware,Cancer,2010
2008,Missouri,Alzheimer's disease,2010
2008,Minnesota,Unintentional injuries,2010
2000,Louisiana,Unintentional injuries,2006
2016,Iowa,CLRD,2006
2005,Oklahoma,Unintentional injuries,2005
1999,Texas,Suicide,2005
2013,Montana,Heart disease,2004
2001,Connecticut,Stroke,2003
2014,Ohio,Kidney disease,2002
2007,Colorado,CLRD,2002
2016,North Carolina,Kidney disease,2002
2000,Mississippi,Stroke,1999
2015,Oregon,Unintentional injuries,1999
2007,New York,Alzheimer's disease,1999
2010,Louisiana,Unintentional injuries,1999
2013,Montana,Cancer,1997
2010,Georgia,Diabetes,1996
2000,Montana,Heart disease,1995
2001,California,Kidney disease,1994
1999,Minnesota,CLRD,1994
2010,Kentucky,Stroke,1992
2016,Indiana,Diabetes,1992
2001,Kentucky,Unintentional injuries,1990
2013,Kentucky,Stroke,1990
2003,North Carolina,Influenza and pneumonia,1990
2004,New York,Alzheimer's disease,1989
2012,New Jersey,Diabetes,1988
2002,Oklahoma,CLRD,1988
2010,Missouri,Alzheimer's disease,1986
2003,Maryland,CLRD,1986
2011,Arkansas,CLRD,1985
2004,Oklahoma,CLRD,1985
2001,South Dakota,Heart disease,1985
2013,Ohio,Kidney disease,1985
2003,Montana,Heart disease,1984
2000,Delaware,Heart disease,1983
2008,Maryland,CLRD,1982
2012,Maryland,CLRD,1981
2010,Oklahoma,Stroke,1980
2000,Oklahoma,CLRD,1980
2016,Connecticut,Unintentional injuries,1978
2006,Oregon,Stroke,1978
2010,Louisiana,Stroke,1977
2005,South Carolina,CLRD,1977
2008,Montana,Heart disease,1975
2010,Ohio,Influenza and pneumonia,1975
2000,South Carolina,Unintentional injuries,1974
2016,Delaware,Heart disease,1974
2002,New Jersey,Influenza and pneumonia,1973
2014,Delaware,Cancer,1972
2002,South Carolina,Unintentional injuries,1972
2008,Indiana,Alzheimer's disease,1971
2002,Minnesota,CLRD,1971
2010,Oregon,CLRD,1971
2001,Montana,Heart disease,1970
2016,Pennsylvania,Suicide,1970
1999,Illinois,Kidney disease,1965
2005,Minnesota,CLRD,1965
2014,New Jersey,Alzheimer's disease,1962
2002,North Carolina,Alzheimer's disease,1962
2009,Oklahoma,Stroke,1961
2009,Minnesota,CLRD,1961
2011,New Jersey,Alzheimer's disease,1960
2004,Iowa,Stroke,1960
2001,South Carolina,Unintentional injuries,1960
2004,Massachusetts,Influenza and pneumonia,1959
2009,New Jersey,Diabetes,1959
2002,Michigan,Alzheimer's disease,1958
2014,Montana,Heart disease,1957
2004,Michigan,Influenza and pneumonia,1957
2005,Montana,Cancer,1956
2001,Montana,Cancer,1956
2014,Oregon,CLRD,1955
1999,Wisconsin,Unintentional injuries,1955
2012,Montana,Cancer,1954
2008,Oregon,CLRD,1951
2005,Michigan,Influenza and pneumonia,1950
2016,New Jersey,Diabetes,1949
2004,Arkansas,Stroke,1948
2005,Colorado,Unintentional injuries,1947
2006,Ohio,Influenza and pneumonia,1947
2004,Oklahoma,Unintentional injuries,1947
2002,Hawaii,Cancer,1945
2000,North Carolina,Influenza and pneumonia,1945
2002,Maryland,CLRD,1944
2002,Montana,Heart disease,1944
2006,Montana,Cancer,1943
2003,South Dakota,Heart disease,1943
2011,Ohio,Kidney disease,1943
2013,Indiana,Diabetes,1943
2016,Oregon,Stroke,1943
2000,Hawaii,Cancer,1943
2009,Oregon,CLRD,1943
1999,Maryland,CLRD,1943
2003,South Carolina,Unintentional injuries,1941
2003,Michigan,Influenza and pneumonia,1941
2015,Delaware,Heart disease,1940
2010,Indiana,Alzheimer's disease,1940
1999,Louisiana,Unintentional injuries,1940
2010,Louisiana,CLRD,1939
2014,South Carolina,Alzheimer's disease,1938
2002,South Dakota,Heart disease,1937
2014,Arizona,Diabetes,1936
2005,Mississippi,Unintentional injuries,1936
2001,Mississippi,Stroke,1935
2005,Massachusetts,Influenza and pneumonia,1935
2012,Delaware,Cancer,1935
2006,South Carolina,CLRD,1935
2015,New Jersey,Diabetes,1933
1999,Connecticut,Stroke,1933
2006,Colorado,CLRD,1932
2013,North Carolina,Influenza and pneumonia,1931
2003,Colorado,CLRD,1931
2008,Georgia,Alzheimer's disease,1929
2002,Minnesota,Unintentional injuries,1928
2016,Colorado,Stroke,1927
2011,Missouri,Alzheimer's disease,1927
2000,Maryland,CLRD,1927
2002,Mississippi,Stroke,1926
2015,Mississippi,CLRD,1924
2010,Montana,Cancer,1923
2001,Oklahoma,CLRD,1922
2005,Minnesota,Unintentional injuries,1922
2015,Michigan,Kidney disease,1921
2011,Montana,Heart disease,1921
2007,Montana,Cancer,1921
2014,Delaware,Heart disease,1921
2006,Minnesota,Unintentional injuries,1919
2002,Delaware,Heart disease,1918
2006,Colorado,Unintentional injuries,1917
1999,Hawaii,Cancer,1916
2012,Oregon,CLRD,1915
2014,Iowa,CLRD,1915
2002,Colorado,Stroke,1915
2007,Delaware,Heart disease,1914
1999,Washington,Unintentional injuries,1914
2009,Montana,Cancer,1914
2005,Colorado,CLRD,1914
2011,Oregon,Stroke,1913
2003,South Carolina,CLRD,1913
2009,Oregon,Stroke,1912
2001,Ohio,Kidney disease,1912
2008,Delaware,Cancer,1912
2003,Minnesota,Unintentional injuries,1912
2002,Montana,Cancer,1911
2012,Arkansas,CLRD,1910
2004,Maryland,CLRD,1910
2001,Minnesota,CLRD,1909
2014,Maryland,CLRD,1909
2010,Delaware,Cancer,1909
2009,Ohio,Kidney disease,1909
2005,Maryland,CLRD,1908
1999,Illinois,Alzheimer's disease,1908
2005,Massachusetts,Unintentional injuries,1907
2000,Colorado,Stroke,1907
2001,Maryland,CLRD,1907
2005,Louisiana,CLRD,1906
2011,Delaware,Cancer,1906
2013,Delaware,Cancer,1905
2011,Louisiana,CLRD,1904
1999,Massachusetts,Influenza and pneumonia,1904
2012,Montana,Heart disease,1903
2015,Maryland,Unintentional injuries,1903
2005,Ohio,Kidney disease,1902
2000,Minnesota,CLRD,1902
2005,Iowa,Stroke,1902
1999,South Carolina,Unintentional injuries,1901
2007,Maryland,CLRD,1901
2012,North Carolina,Influenza and pneumonia,1899
2008,Oregon,Stroke,1899
2004,Colorado,CLRD,1899
2002,North Carolina,Influenza and pneumonia,1898
2004,Ohio,Kidney disease,1896
2013,Michigan,Influenza and pneumonia,1896
2008,Louisiana,CLRD,1896
2016,North Carolina,Influenza and pneumonia,1896
1999,Colorado,CLRD,1894
2015,Michigan,Influenza and pneumonia,1894
2015,Pennsylvania,Suicide,1894
2001,New Jersey,Influenza and pneumonia,1893
2012,Oklahoma,Stroke,1893
2007,Oregon,CLRD,1892
2013,Iowa,CLRD,1892
2010,North Carolina,Kidney disease,1892
1999,North Carolina,Influenza and pneumonia,1891
2002,South Carolina,CLRD,1889
2000,Florida,Kidney disease,1888
2008,Arkansas,CLRD,1887
2014,Alabama,Alzheimer's disease,1885
2009,Indiana,Alzheimer's disease,1884
2006,Arkansas,Stroke,1884
2016,Tennessee,Diabetes,1883
2004,Tennessee,Diabetes,1882
2015,Georgia,Kidney disease,1881
2015,Oklahoma,Stroke,1881
2012,New Jersey,Alzheimer's disease,1881
2013,Oklahoma,Stroke,1880
2010,New Jersey,Alzheimer's disease,1878
2009,Louisiana,CLRD,1878
2014,Wisconsin,Alzheimer's disease,1876
2009,New Jersey,Unintentional injuries,1875
2014,Michigan,Influenza and pneumonia,1875
2014,North Carolina,Influenza and pneumonia,1874
2007,Arkansas,Stroke,1873
2015,Oregon,Stroke,1873
2009,New Jersey,Alzheimer's disease,1872
2007,Montana,Heart disease,1870
2000,Texas,Kidney disease,1870
2006,Montana,Heart disease,1869
2000,Montana,Cancer,1867
2004,Montana,Cancer,1867
2004,Minnesota,Unintentional injuries,1867
2003,New York,Alzheimer's disease,1866
2006,Delaware,Heart disease,1866
2009,Georgia,Kidney disease,1866
2008,Ohio,Kidney disease,1865
2009,Georgia,Alzheimer's disease,1865
2011,Oklahoma,Stroke,1864
2016,Georgia,Kidney disease,1864
2012,Missouri,Alzheimer's disease,1863
2008,Montana,Cancer,1862
2002,Connecticut,Stroke,1861
2013,Delaware,Heart disease,1861
2012,Indiana,Diabetes,1860
2016,Oklahoma,Stroke,1859
2008,New Jersey,Alzheimer's disease,1857
2015,Colorado,Stroke,1856
2006,Mississippi,Unintentional injuries,1856
2003,Tennessee,Diabetes,1855
2005,Montana,Heart disease,1855
1999,Montana,Cancer,1854
1999,Mississippi,Stroke,1854
2014,Michigan,Kidney disease,1853
2008,Michigan,Influenza and pneumonia,1853
2007,Delaware,Cancer,1853
2012,Tennessee,Diabetes,1852
2010,Montana,Heart disease,1849
2007,Georgia,Alzheimer's disease,1849
2010,Virginia,Alzheimer's disease,1848
2008,Iowa,CLRD,1848
2001,Kansas,Stroke,1848
2002,Colorado,CLRD,1848
2005,Arkansas,Stroke,1847
2014,Oklahoma,Stroke,1847
2003,Montana,Cancer,1847
1999,Florida,Kidney disease,1846
2002,Oregon,CLRD,1845
2002,Kansas,Stroke,1845
2005,Tennessee,Diabetes,1844
1999,Kansas,Stroke,1841
2004,Minnesota,CLRD,1839
2004,Montana,Heart disease,1838
2000,Kentucky,Unintentional injuries,1838
2005,Oregon,CLRD,1837
2001,Colorado,CLRD,1836
2016,Colorado,Alzheimer's disease,1835
2007,Oregon,Stroke,1835
1999,Colorado,Stroke,1834
2011,Iowa,CLRD,1833
1999,North Dakota,Heart disease,1833
2003,Minnesota,CLRD,1832
2006,Maryland,CLRD,1832
2009,Iowa,CLRD,1832
2009,Montana,Heart disease,1832
2008,Massachusetts,Alzheimer's disease,1832
2005,Arizona,Alzheimer's disease,1831
2009,Arkansas,CLRD,1831
2000,Kansas,Stroke,1830
2005,North Carolina,Influenza and pneumonia,1830
2000,Ohio,Kidney disease,1829
2006,Oregon,CLRD,1828
2009,North Carolina,Kidney disease,1828
2003,Connecticut,Stroke,1828
2004,Delaware,Cancer,1827
2013,Tennessee,Diabetes,1827
2001,Colorado,Stroke,1825
2012,Iowa,CLRD,1824
2007,New Jersey,Alzheimer's disease,1823
2003,New Jersey,Influenza and pneumonia,1823
2015,North Carolina,Kidney disease,1821
2014,Oregon,Stroke,1821
2006,Georgia,Alzheimer's disease,1820
2003,Oregon,CLRD,1819
2014,Indiana,Diabetes,1819
2011,Massachusetts,Alzheimer's disease,1819
2014,Pennsylvania,Suicide,1817
2015,Massachusetts,Alzheimer's disease,1815
2005,New Jersey,Alzheimer's disease,1815
2003,Tennessee,Influenza and pneumonia,1814
2015,Mississippi,Unintentional injuries,1814
2003,Colorado,Stroke,1813
2009,Delaware,Cancer,1813
2002,Colorado,Unintentional injuries,1812
2013,New Jersey,Alzheimer's disease,1812
2015,Washington,Diabetes,1811
2004,Colorado,Unintentional injuries,1810
2011,Delaware,Heart disease,1809
2007,Mississippi,Unintentional injuries,1808
